yrke,aar,aarsverk
ba,2020,47126.0830648142
ba,2021,48004.62975839099
ba,2022,49054.446225357366
ba,2023,50110.97840053061
ba,2024,51172.690587174824
ba,2025,52231.80099243067
ba,2026,53290.26089850663
ba,2027,54321.80285858336
ba,2028,55326.608303230365
ba,2029,56273.13606764919
ba,2030,57142.08589957682
ba,2031,57934.60162376797
ba,2032,58628.39962179886
ba,2033,59226.91288950575
ba,2034,59747.48109903088
ba,2035,60180.214251031925
ba,2036,60568.44161486525
ba,2037,60934.616783895464
ba,2038,61311.647869452194
ba,2039,61717.09137831684
ba,2040,62174.31169826203
fa,2020,16557.0175625449
fa,2021,17577.879345763387
fa,2022,18645.61915878023
fa,2023,19743.706045222065
fa,2024,20844.41946195418
fa,2025,21945.751751767435
fa,2026,23027.542102296255
fa,2027,24098.50986946456
fa,2028,25139.938940122338
fa,2029,26166.86252582542
fa,2030,27160.4346195555
fa,2031,28119.362920372318
fa,2032,29053.360373104337
fa,2033,29967.375742616612
fa,2034,30877.028465147025
fa,2035,31771.794987183566
fa,2036,32647.518086210493
fa,2037,33519.54383147429
fa,2038,34392.68668550663
fa,2039,35262.631517984606
fa,2040,36117.01702962166
gr,2020,52381.191691951
gr,2021,52771.508892593825
gr,2022,53230.45469905735
gr,2023,53745.639771789
gr,2024,54316.227256895254
gr,2025,54925.54611958685
gr,2026,55540.74215721468
gr,2027,56186.03748628655
gr,2028,56810.50994648657
gr,2029,57397.16605910769
gr,2030,57918.787124315284
gr,2031,58381.23317006562
gr,2032,58767.28240764353
gr,2033,59072.13288642734
gr,2034,59319.624015923524
gr,2035,59510.20409448468
gr,2036,59677.51008775071
gr,2037,59836.934203500736
gr,2038,59991.91481397279
gr,2039,60170.60982725364
gr,2040,60362.63454706157
ph,2020,30732.494175697102
ph,2021,30793.11365665312
ph,2022,30889.450324494752
ph,2023,31003.61916535034
ph,2024,31129.151504931604
ph,2025,31255.77283683757
ph,2026,31383.55441270605
ph,2027,31495.590993449947
ph,2028,31592.840365355558
ph,2029,31671.150838977457
ph,2030,31716.43687060837
ph,2031,31724.60514893396
ph,2032,31698.14382138489
ph,2033,31631.88004594649
ph,2034,31551.62917878379
ph,2035,31436.52365036662
ph,2036,31321.122891513434
ph,2037,31189.20441284174
ph,2038,31068.18394807317
ph,2039,30945.78821479743
ph,2040,30833.755889550077
py,2020,13247.996343126
py,2021,13225.53629814894
py,2022,13190.348959865603
py,2023,13139.839220602891
py,2024,13090.93648807719
py,2025,13023.971151905354
py,2026,12944.719658869755
py,2027,12865.456714563785
py,2028,12762.97937391701
py,2029,12663.609846400686
py,2030,12555.227655295143
py,2031,12434.057129623874
py,2032,12320.4381537127
py,2033,12190.826423915365
py,2034,12079.521610666117
py,2035,11961.02610840933
py,2036,11851.509973604856
py,2037,11747.941962844863
py,2038,11634.159906235338
py,2039,11541.316119667878
py,2040,11442.804719707437
